day,hour,pearson,kendall,spearman,max_pearson_val,max_pearson_time,min_pearson_val,min_pearson_time,max_kendall_val,max_kendall_time,min_kendall_val,min_kendall_time,max_spearman_val,max_spearman_time,min_spearman_val,min_spearman_time
3,20,0.39,0.3,0.44,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,21,0.4,0.37,0.51,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,22,0.36,0.36,0.52,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
3,23,0.49,0.49,0.66,0.79,76,0.29,46,0.67,6,0.27,69,0.84,6,0.39,63
4,0,0.43,0.42,0.57,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,1,0.65,0.58,0.77,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,2,0.71,0.62,0.79,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,3,0.76,0.59,0.79,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,4,0.76,0.62,0.81,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,5,0.78,0.61,0.79,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,6,0.64,0.64,0.84,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,7,0.6,0.58,0.77,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,8,0.59,0.51,0.69,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,9,0.61,0.46,0.63,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,10,0.64,0.47,0.63,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,11,0.61,0.49,0.67,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,12,0.58,0.42,0.58,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,13,0.57,0.43,0.59,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,14,0.55,0.33,0.45,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,15,0.5,0.32,0.44,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,16,0.52,0.33,0.46,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,17,0.53,0.34,0.48,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,18,0.46,0.35,0.48,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,19,0.45,0.34,0.46,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,20,0.29,0.26,0.36,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,21,0.33,0.31,0.42,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,22,0.35,0.3,0.42,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
4,23,0.42,0.38,0.53,0.79,76,0.29,116,0.67,6,0.26,116,0.84,6,0.36,116
