day,hour,precinct,criminal,traffic,population,age,max_crime,min_crime,max_traffic,min_traffic,max_crime_time,min_crime_time,max_traffic_time,min_traffic_time,max_crime_change,max_traffic_change
0,1,30,87,1003,63956,34.1,128.0,31.0,2220.0,475.0,15.0,3.0,8.0,3.0,4.13,4.67
0,1,49,57,22,129501,36.0,123.0,16.0,42.0,4.0,19.0,5.0,0.0,5.0,7.69,10.5
0,1,88,79,1523,74233,34.1,152.0,8.0,3462.0,403.0,18.0,5.0,23.0,5.0,19.0,8.59
0,1,26,72,2066,65925,30.4,167.0,60.0,8409.0,1035.0,17.0,5.0,17.0,3.0,2.78,8.12
0,1,123,20,5,165632,41.6,67.0,6.0,1000.0,1.0,12.0,4.0,10.0,2.0,11.17,1000.0
0,1,9,137,28065,43022,32.4,203.0,114.0,66407.0,12012.0,18.0,6.0,22.0,5.0,1.78,5.53
0,1,104,56,119,174240,37.3,123.0,29.0,159.0,38.0,18.0,6.0,0.0,12.0,4.24,4.18
0,1,33,83,721,92476,34.6,122.0,26.0,1377.0,306.0,13.0,3.0,7.0,3.0,4.69,4.5
0,1,62,45,20,189076,38.4,127.0,22.0,67.0,3.0,20.0,5.0,16.0,18.0,5.77,22.33
0,1,22,53,1602,0,0.0,112.0,51.0,44700.0,540.0,14.0,2.0,15.0,3.0,2.2,82.78
0,2,44,86,56,141055,31.5,229.0,38.0,308.0,51.0,18.0,6.0,7.0,19.0,6.03,6.04
0,2,103,41,41,68981,39.3,181.0,27.0,333.0,13.0,15.0,5.0,16.0,3.0,6.7,25.62
0,2,28,72,1112,50095,34.8,182.0,59.0,6251.0,745.0,15.0,5.0,7.0,3.0,3.08,8.39
0,2,105,60,10,200852,40.1,162.0,30.0,72.0,5.0,12.0,3.0,6.0,3.0,5.4,14.4
0,2,13,137,15148,49348,34.2,256.0,121.0,137063.0,9886.0,12.0,3.0,19.0,3.0,2.12,13.86
0,2,71,46,216,111325,34.3,141.0,24.0,461.0,56.0,18.0,5.0,0.0,11.0,5.88,8.23
0,2,7,74,5382,72789,41.1,165.0,57.0,13099.0,2419.0,20.0,6.0,23.0,5.0,2.89,5.42
0,2,46,81,44,136982,29.9,178.0,40.0,97.0,19.0,16.0,3.0,1.0,14.0,4.45,5.11
0,2,48,65,11,130442,28.9,162.0,35.0,26.0,2.0,14.0,4.0,1.0,10.0,4.63,13.0
0,2,19,81,7963,221922,39.9,266.0,72.0,162269.0,5502.0,12.0,3.0,18.0,3.0,3.69,29.49
0,2,41,28,27,55492,30.3,148.0,21.0,43.0,8.0,18.0,6.0,5.0,9.0,7.05,5.38
0,2,14,132,27982,16368,33.2,253.0,126.0,198038.0,15284.0,10.0,5.0,19.0,3.0,2.01,12.96
0,2,67,64,44,138643,37.8,204.0,41.0,49.0,3.0,19.0,6.0,1.0,11.0,4.98,16.33
0,2,17,119,17388,97402,38.4,180.0,108.0,267591.0,11346.0,12.0,5.0,19.0,3.0,1.67,23.58
0,2,61,25,37,150931,39.9,117.0,23.0,63.0,8.0,12.0,6.0,8.0,11.0,5.09,7.88
0,2,102,52,62,154987,35.5,118.0,24.0,359.0,62.0,19.0,6.0,6.0,2.0,4.92,5.79
0,2,110,110,904,142289,35.8,142.0,59.0,989.0,250.0,16.0,10.0,4.0,20.0,2.41,3.96
0,2,108,97,3367,139088,37.1,153.0,87.0,8844.0,2651.0,7.0,5.0,7.0,3.0,1.76,3.34
0,2,75,110,48,185182,33.0,320.0,60.0,65.0,13.0,19.0,4.0,1.0,11.0,5.33,5.0
0,2,73,58,65,94149,32.3,192.0,32.0,110.0,12.0,16.0,4.0,1.0,12.0,6.0,9.17
0,2,60,47,5,109876,43.7,145.0,18.0,35.0,3.0,0.0,4.0,20.0,17.0,8.06,11.67
0,2,68,24,65,125011,39.4,120.0,10.0,149.0,17.0,17.0,4.0,23.0,11.0,12.0,8.76
0,2,79,49,425,75318,29.1,163.0,18.0,814.0,76.0,21.0,5.0,23.0,16.0,9.06,10.71
0,2,23,87,2170,59777,34.5,221.0,68.0,25869.0,1814.0,19.0,3.0,7.0,3.0,3.25,14.26
0,2,42,44,23,139743,29.4,150.0,18.0,55.0,6.0,15.0,4.0,7.0,12.0,8.33,9.17
0,2,115,150,1199,180562,35.0,231.0,97.0,54393.0,1052.0,0.0,6.0,10.0,3.0,2.38,51.7
0,2,52,58,16,131423,32.3,209.0,45.0,53.0,10.0,19.0,5.0,7.0,13.0,4.64,5.3
0,2,122,34,3,135323,41.4,109.0,17.0,1000.0,2.0,12.0,3.0,4.0,11.0,6.41,500.0
0,2,1,75,7527,88716,34.0,262.0,60.0,90234.0,1000.0,15.0,0.0,19.0,0.0,4.37,90.23
0,2,72,37,99,151258,33.3,91.0,22.0,232.0,42.0,8.0,6.0,23.0,16.0,4.14,5.52
0,2,109,39,102,250162,42.8,169.0,26.0,166.0,52.0,12.0,5.0,16.0,4.0,6.5,3.19
0,2,24,72,4049,124447,43.4,198.0,57.0,40913.0,3043.0,17.0,4.0,18.0,3.0,3.47,13.44
0,2,81,86,620,67371,33.2,123.0,23.0,921.0,37.0,23.0,4.0,0.0,9.0,5.35,24.89
0,2,90,88,5961,124082,30.9,208.0,72.0,10500.0,919.0,0.0,3.0,23.0,10.0,2.89,11.43
0,2,112,16,221,114637,42.1,115.0,11.0,716.0,111.0,0.0,4.0,8.0,4.0,10.45,6.45
0,2,43,87,42,189556,34.2,233.0,46.0,64.0,20.0,15.0,5.0,0.0,12.0,5.07,3.2
0,2,84,74,1836,66385,35.0,198.0,63.0,9502.0,1106.0,14.0,4.0,7.0,3.0,3.14,8.59
0,2,47,65,22,144341,35.6,200.0,38.0,38.0,2.0,15.0,5.0,4.0,11.0,5.26,19.0
0,2,77,45,401,127627,34.2,153.0,22.0,911.0,101.0,21.0,5.0,23.0,11.0,6.95,9.02
0,2,101,24,8,93267,33.3,85.0,13.0,1000.0,1.0,18.0,5.0,4.0,5.0,6.54,1000.0
0,2,83,64,474,135837,30.4,152.0,28.0,802.0,29.0,0.0,6.0,0.0,11.0,5.43,27.66
0,2,113,117,3844,239699,35.9,258.0,89.0,36909.0,1669.0,15.0,4.0,15.0,3.0,2.9,22.11
0,2,120,59,32,172369,35.9,153.0,27.0,247.0,32.0,18.0,5.0,15.0,2.0,5.67,7.72
0,2,70,61,223,162030,34.3,158.0,29.0,476.0,87.0,15.0,4.0,7.0,11.0,5.45,5.47
0,2,69,33,8,88367,37.1,89.0,16.0,35.0,5.0,16.0,5.0,16.0,12.0,5.56,7.0
0,2,66,29,57,164842,27.9,88.0,18.0,118.0,44.0,20.0,6.0,17.0,21.0,4.89,2.68
0,2,114,124,3390,172468,35.1,199.0,91.0,7987.0,1660.0,18.0,5.0,7.0,19.0,2.19,4.81
0,2,76,11,397,42463,36.5,103.0,10.0,4263.0,299.0,12.0,4.0,8.0,3.0,10.3,14.26
0,2,63,37,50,116657,38.6,100.0,18.0,52.0,3.0,18.0,6.0,0.0,9.0,5.56,17.33
0,2,45,40,8,122417,42.9,127.0,14.0,1000.0,1.0,17.0,5.0,6.0,4.0,9.07,1000.0
0,2,106,43,44,137073,38.7,124.0,24.0,101.0,25.0,20.0,6.0,16.0,3.0,5.17,4.04
0,2,10,128,13348,77205,37.1,199.0,108.0,67629.0,8528.0,12.0,6.0,18.0,4.0,1.84,7.93
0,2,78,75,1477,73881,35.4,141.0,60.0,6353.0,689.0,14.0,5.0,22.0,4.0,2.35,9.22
0,2,6,136,35757,66772,36.5,178.0,115.0,114054.0,15787.0,17.0,7.0,22.0,5.0,1.55,7.22
0,2,5,122,9465,44898,40.0,249.0,62.0,53922.0,4840.0,15.0,4.0,20.0,5.0,4.02,11.14
0,2,94,70,3093,33351,34.7,122.0,63.0,6684.0,1200.0,16.0,5.0,23.0,5.0,1.94,5.57
0,2,40,66,191,98324,28.7,243.0,31.0,621.0,140.0,15.0,5.0,17.0,3.0,7.84,4.44
0,2,34,60,231,126204,36.3,172.0,25.0,829.0,109.0,0.0,6.0,0.0,5.0,6.88,7.61
0,2,32,80,516,85872,33.7,184.0,24.0,2228.0,369.0,15.0,4.0,7.0,3.0,7.67,6.04
0,2,50,21,31,58653,37.6,84.0,20.0,75.0,10.0,15.0,4.0,0.0,3.0,4.2,7.5
0,2,25,82,940,61031,33.4,183.0,64.0,5975.0,818.0,16.0,5.0,7.0,3.0,2.86,7.3
0,2,100,15,2,28243,45.8,60.0,7.0,1000.0,1.0,3.0,4.0,3.0,1.0,8.57,1000.0
0,2,18,135,24893,58237,38.1,270.0,117.0,162186.0,19290.0,16.0,5.0,19.0,3.0,2.31,8.41
0,2,20,64,4907,85962,41.8,213.0,61.0,76855.0,3175.0,12.0,4.0,18.0,3.0,3.49,24.21
0,2,111,14,4,119917,43.8,65.0,5.0,85.0,4.0,12.0,4.0,10.0,2.0,13.0,21.25
0,2,107,31,29,93520,37.3,99.0,13.0,193.0,29.0,12.0,5.0,15.0,2.0,7.62,6.66
0,2,30,81,723,63956,34.1,128.0,31.0,2220.0,475.0,15.0,3.0,8.0,3.0,4.13,4.67
0,2,49,41,23,129501,36.0,123.0,16.0,42.0,4.0,19.0,5.0,0.0,5.0,7.69,10.5
0,2,88,62,1011,74233,34.1,152.0,8.0,3462.0,403.0,18.0,5.0,23.0,5.0,19.0,8.59
0,2,26,61,1381,65925,30.4,167.0,60.0,8409.0,1035.0,17.0,5.0,17.0,3.0,2.78,8.12
0,2,123,18,1,165632,41.6,67.0,6.0,1000.0,1.0,12.0,4.0,10.0,2.0,11.17,1000.0
0,2,9,133,20260,43022,32.4,203.0,114.0,66407.0,12012.0,18.0,6.0,22.0,5.0,1.78,5.53
0,2,104,50,50,174240,37.3,123.0,29.0,159.0,38.0,18.0,6.0,0.0,12.0,4.24,4.18
0,2,33,87,502,92476,34.6,122.0,26.0,1377.0,306.0,13.0,3.0,7.0,3.0,4.69,4.5
0,2,62,34,11,189076,38.4,127.0,22.0,67.0,3.0,20.0,5.0,16.0,18.0,5.77,22.33
0,2,22,51,741,0,0.0,112.0,51.0,44700.0,540.0,14.0,2.0,15.0,3.0,2.2,82.78
0,3,44,64,84,141055,31.5,229.0,38.0,308.0,51.0,18.0,6.0,7.0,19.0,6.03,6.04
0,3,103,30,13,68981,39.3,181.0,27.0,333.0,13.0,15.0,5.0,16.0,3.0,6.7,25.62
0,3,28,68,745,50095,34.8,182.0,59.0,6251.0,745.0,15.0,5.0,7.0,3.0,3.08,8.39
0,3,105,30,5,200852,40.1,162.0,30.0,72.0,5.0,12.0,3.0,6.0,3.0,5.4,14.4
0,3,13,121,9886,49348,34.2,256.0,121.0,137063.0,9886.0,12.0,3.0,19.0,3.0,2.12,13.86
0,3,71,41,192,111325,34.3,141.0,24.0,461.0,56.0,18.0,5.0,0.0,11.0,5.88,8.23
0,3,7,67,3562,72789,41.1,165.0,57.0,13099.0,2419.0,20.0,6.0,23.0,5.0,2.89,5.42
0,3,46,40,69,136982,29.9,178.0,40.0,97.0,19.0,16.0,3.0,1.0,14.0,4.45,5.11
