day,hour,precinct,criminal,traffic
0,7,19,45,141803
0,7,41,66,21
0,7,14,46,125807
0,7,67,77,8
0,7,17,13,122259
0,7,61,46,43
0,7,102,50,302
0,7,110,42,613
0,7,108,53,8534
0,7,75,120,32
0,7,73,74,43
0,7,60,45,8
0,7,68,27,75
0,7,79,51,211
0,7,23,44,26522
0,7,42,53,54
0,7,115,62,21532
0,7,52,58,53
0,7,122,47,8
0,7,1,38,51901
0,7,72,31,199
0,7,109,53,93
0,7,24,34,33706
0,7,81,57,114
0,7,90,49,1160
0,7,112,20,688
0,7,43,65,60
0,7,84,34,9533
0,7,47,90,11
0,7,77,56,223
0,7,101,30,1
0,7,83,56,64
0,7,113,84,28400
0,7,120,60,91
0,7,70,51,482
0,7,69,46,7
0,7,66,27,95
0,7,114,64,8313
0,7,76,13,3625
0,7,63,34,44
0,7,45,54,13
0,7,106,52,68
0,7,10,18,40110
0,7,78,23,2008
0,7,6,15,50807
0,7,5,16,16534
0,7,94,29,1333
0,7,40,83,373
0,7,34,39,285
0,7,32,50,2190
0,7,50,45,49
0,7,25,47,6091
0,7,100,22,8
0,7,18,36,74332
0,7,20,19,46987
0,7,111,16,42
0,7,107,34,72
0,7,30,25,1946
0,7,49,54,37
0,7,88,33,668
0,7,26,20,5623
0,7,123,18,3
0,7,9,37,28625
0,7,104,54,78
0,7,33,32,1395
0,7,62,48,8
0,7,22,1,22342
0,8,44,109,168
0,8,103,94,172
0,8,28,53,5692
0,8,105,99,34
0,8,13,84,97255
0,8,71,85,216
0,8,7,45,5544
0,8,46,103,59
0,8,48,94,9
0,8,19,90,158005
0,8,41,82,33
0,8,14,97,143577
0,8,67,130,10
0,8,17,55,164660
0,8,61,81,64
0,8,102,82,275
0,8,110,67,511
0,8,108,69,7776
0,8,75,171,21
0,8,73,106,31
0,8,60,81,22
0,8,68,50,41
0,8,79,88,159
0,8,23,79,26407
0,8,42,83,33
0,8,115,73,37492
0,8,52,106,36
0,8,122,76,7
0,8,1,82,69176
0,8,72,91,233
0,8,109,94,107
0,8,24,52,38864
0,8,81,75,83
0,8,90,89,1216
0,8,112,56,715
0,8,43,143,46
0,8,84,53,9384
0,8,47,121,5
0,8,77,99,193
0,8,101,56,10
