day,hour,precinct,criminal,traffic,population,age
0,3,46,40,67,136982.0,29.9
0,3,48,55,25,130442.0,28.9
0,3,19,22,6201,221922.0,39.9
0,3,41,39,44,55492.0,30.3
0,3,14,29,11522,16368.0,33.2
0,3,67,73,21,138643.0,37.8
0,3,17,14,10020,97402.0,38.4
0,3,61,29,10,150931.0,39.9
0,3,102,37,57,154987.0,35.5
0,3,110,50,574,142289.0,35.8
0,3,108,40,2038,139088.0,37.1
0,3,75,73,23,185182.0,33.0
0,3,73,45,32,94149.0,32.3
0,3,60,31,7,109876.0,43.7
0,3,68,16,24,125011.0,39.4
0,3,79,31,196,75318.0,29.1
0,3,23,18,1047,59777.0,34.5
0,3,42,35,10,139743.0,29.4
0,3,115,96,1015,180562.0,35.0
0,3,52,47,39,131423.0,32.3
0,3,122,17,6,135323.0,41.4
0,3,1,18,3032,88716.0,34.0
0,3,72,30,79,151258.0,33.3
0,3,109,33,69,250162.0,42.8
0,3,24,18,2342,124447.0,43.4
0,3,81,37,536,67371.0,33.2
0,3,90,22,3290,124082.0,30.9
0,3,112,14,172,114637.0,42.1
0,3,43,56,23,189556.0,34.2
0,3,84,14,1371,66385.0,35.0
0,3,47,53,19,144341.0,35.6
0,3,77,33,306,127627.0,34.2
0,3,101,17,16,93267.0,33.3
0,3,83,66,223,135837.0,30.4
0,3,113,50,1661,239699.0,35.9
0,3,120,39,56,172369.0,35.9
0,3,70,36,132,162030.0,34.3
0,3,69,23,13,88367.0,37.1
0,3,66,31,40,164842.0,27.9
0,3,114,60,2544,172468.0,35.1
0,3,76,12,308,42463.0,36.5
0,3,63,25,20,116657.0,38.6
0,3,45,31,12,122417.0,42.9
0,3,106,47,37,137073.0,38.7
0,3,10,34,6831,77205.0,37.1
0,3,78,12,633,73881.0,35.4
0,3,6,28,32435,66772.0,36.5
0,3,5,16,3797,44898.0,40.0
0,3,94,17,3032,33351.0,34.7
0,3,40,52,134,98324.0,28.7
0,3,34,44,132,126204.0,36.3
0,3,32,33,244,85872.0,33.7
0,3,50,26,9,58653.0,37.6
0,3,25,23,885,61031.0,33.4
0,3,18,34,24791,58237.0,38.1
0,3,20,12,3079,85962.0,41.8
0,3,111,11,19,119917.0,43.8
0,3,107,28,41,93520.0,37.3
0,3,30,31,536,63956.0,34.1
0,3,49,20,14,129501.0,36.0
0,3,88,12,768,74233.0,34.1
0,3,26,16,1111,65925.0,30.4
0,3,123,8,5,165632.0,41.6
0,3,9,16,13464,43022.0,32.4
0,3,104,31,71,174240.0,37.3
0,3,33,26,258,92476.0,34.6
0,3,62,34,22,189076.0,38.4
0,3,22,2,263,0.0,0.0
0,3,100,10,1000,28243.0,45.8
0,4,44,63,80,141055.0,31.5
0,4,103,49,31,68981.0,39.3
0,4,28,13,1902,50095.0,34.8
0,4,105,31,16,200852.0,40.1
0,4,13,28,9290,49348.0,34.2
0,4,71,49,152,111325.0,34.3
0,4,7,22,6958,72789.0,41.1
0,4,46,45,79,136982.0,29.9
0,4,48,35,19,130442.0,28.9
0,4,19,19,10713,221922.0,39.9
0,4,41,28,49,55492.0,30.3
0,4,14,45,15210,16368.0,33.2
0,4,67,54,19,138643.0,37.8
0,4,17,12,11792,97402.0,38.4
0,4,61,28,22,150931.0,39.9
0,4,102,50,68,154987.0,35.5
0,4,110,62,808,142289.0,35.8
0,4,108,41,2986,139088.0,37.1
0,4,75,60,14,185182.0,33.0
0,4,73,32,33,94149.0,32.3
0,4,60,18,12,109876.0,43.7
0,4,68,10,32,125011.0,39.4
0,4,79,31,166,75318.0,29.1
0,4,23,18,1514,59777.0,34.5
0,4,42,18,26,139743.0,29.4
0,4,115,115,1682,180562.0,35.0
0,4,52,54,15,131423.0,32.3
0,4,1,16,4265,88716.0,34.0
0,4,72,42,41,151258.0,33.3
0,4,109,29,51,250162.0,42.8
0,4,24,7,3532,124447.0,43.4
0,4,81,23,337,67371.0,33.2
0,4,90,32,2804,124082.0,30.9
0,4,112,11,179,114637.0,42.1
0,4,43,53,43,189556.0,34.2
0,4,84,13,1772,66385.0,35.0
0,4,47,58,38,144341.0,35.6
0,4,77,32,293,127627.0,34.2
0,4,83,38,155,135837.0,30.4
0,4,113,39,1827,239699.0,35.9
0,4,120,39,55,172369.0,35.9
0,4,70,29,148,162030.0,34.3
0,4,69,17,15,88367.0,37.1
0,4,66,28,61,164842.0,27.9
0,4,114,58,4272,172468.0,35.1
0,4,76,10,367,42463.0,36.5
0,4,63,29,28,116657.0,38.6
0,4,45,16,2,122417.0,42.9
0,4,106,34,71,137073.0,38.7
0,4,10,19,6237,77205.0,37.1
0,4,78,13,627,73881.0,35.4
0,4,6,27,24733,66772.0,36.5
0,4,5,12,2674,44898.0,40.0
0,4,94,23,2469,33351.0,34.7
0,4,40,32,210,98324.0,28.7
0,4,34,74,115,126204.0,36.3
0,4,32,24,277,85872.0,33.7
0,4,50,20,15,58653.0,37.6
0,4,25,16,1119,61031.0,33.4
0,4,100,7,3,28243.0,45.8
0,4,18,33,27658,58237.0,38.1
0,4,20,11,4834,85962.0,41.8
0,4,111,5,22,119917.0,43.8
0,4,107,17,57,93520.0,37.3
0,4,30,29,703,63956.0,34.1
0,4,49,32,11,129501.0,36.0
0,4,88,21,579,74233.0,34.1
0,4,26,14,1326,65925.0,30.4
0,4,123,6,1,165632.0,41.6
0,4,9,20,12072,43022.0,32.4
0,4,104,31,40,174240.0,37.3
0,4,33,32,380,92476.0,34.6
0,4,62,25,19,189076.0,38.4
0,4,22,1,482,0.0,0.0
0,4,122,10,1000,135323.0,41.4
0,4,101,10,1000,93267.0,33.3
0,5,44,42,121,141055.0,31.5
0,5,103,27,76,68981.0,39.3
