day,hour,sum,lat,long
0,19,3,40.5993,-73.7394
0,21,2,40.5993,-73.7394
0,22,1,40.5993,-73.7394
1,0,1,40.5993,-73.7394
1,1,1,40.5993,-73.7394
1,2,2,40.5993,-73.7394
1,3,1,40.5993,-73.7394
1,4,1,40.5993,-73.7394
1,5,1,40.5993,-73.7394
1,7,1,40.5993,-73.7394
1,9,4,40.5993,-73.7394
1,10,2,40.5993,-73.7394
1,11,4,40.5993,-73.7394
1,12,5,40.5993,-73.7394
1,13,4,40.5993,-73.7394
1,14,3,40.5993,-73.7394
1,15,3,40.5993,-73.7394
1,17,4,40.5993,-73.7394
1,18,3,40.5993,-73.7394
1,19,8,40.5993,-73.7394
1,20,2,40.5993,-73.7394
1,21,5,40.5993,-73.7394
1,22,1,40.5993,-73.7394
1,23,2,40.5993,-73.7394
2,0,1,40.5993,-73.7394
2,1,2,40.5993,-73.7394
2,2,2,40.5993,-73.7394
2,3,1,40.5993,-73.7394
2,7,1,40.5993,-73.7394
2,8,2,40.5993,-73.7394
2,10,1,40.5993,-73.7394
2,11,7,40.5993,-73.7394
2,12,3,40.5993,-73.7394
2,13,2,40.5993,-73.7394
2,14,5,40.5993,-73.7394
2,15,17,40.5993,-73.7394
2,16,1,40.5993,-73.7394
2,18,3,40.5993,-73.7394
2,19,7,40.5993,-73.7394
2,20,4,40.5993,-73.7394
2,21,3,40.5993,-73.7394
2,22,1,40.5993,-73.7394
3,0,2,40.5993,-73.7394
3,2,1,40.5993,-73.7394
3,4,1,40.5993,-73.7394
3,5,1,40.5993,-73.7394
3,8,1,40.5993,-73.7394
3,9,1,40.5993,-73.7394
3,10,2,40.5993,-73.7394
3,11,6,40.5993,-73.7394
3,12,4,40.5993,-73.7394
3,13,2,40.5993,-73.7394
3,14,2,40.5993,-73.7394
3,15,3,40.5993,-73.7394
3,16,6,40.5993,-73.7394
3,17,6,40.5993,-73.7394
3,18,6,40.5993,-73.7394
3,19,3,40.5993,-73.7394
3,20,3,40.5993,-73.7394
3,21,4,40.5993,-73.7394
3,22,1,40.5993,-73.7394
3,23,1,40.5993,-73.7394
4,0,3,40.5993,-73.7394
4,1,1,40.5993,-73.7394
4,3,1,40.5993,-73.7394
4,4,2,40.5993,-73.7394
4,6,1,40.5993,-73.7394
4,8,2,40.5993,-73.7394
4,9,2,40.5993,-73.7394
4,10,1,40.5993,-73.7394
4,11,2,40.5993,-73.7394
4,12,3,40.5993,-73.7394
4,13,1,40.5993,-73.7394
4,14,1,40.5993,-73.7394
4,15,3,40.5993,-73.7394
4,17,5,40.5993,-73.7394
4,18,3,40.5993,-73.7394
4,19,3,40.5993,-73.7394
4,20,3,40.5993,-73.7394
4,21,6,40.5993,-73.7394
4,22,5,40.5993,-73.7394
4,23,3,40.5993,-73.7394
5,0,4,40.5993,-73.7394
5,1,2,40.5993,-73.7394
5,2,6,40.5993,-73.7394
5,3,1,40.5993,-73.7394
5,4,4,40.5993,-73.7394
5,6,2,40.5993,-73.7394
5,7,1,40.5993,-73.7394
5,8,1,40.5993,-73.7394
5,9,2,40.5993,-73.7394
5,10,3,40.5993,-73.7394
5,11,4,40.5993,-73.7394
5,12,3,40.5993,-73.7394
5,13,4,40.5993,-73.7394
5,14,1,40.5993,-73.7394
5,15,1,40.5993,-73.7394
5,16,5,40.5993,-73.7394
5,17,1,40.5993,-73.7394
5,18,3,40.5993,-73.7394
5,19,4,40.5993,-73.7394
5,20,6,40.5993,-73.7394
5,21,2,40.5993,-73.7394
5,22,1,40.5993,-73.7394
5,23,3,40.5993,-73.7394
6,0,2,40.5993,-73.7394
6,1,2,40.5993,-73.7394
6,2,1,40.5993,-73.7394
6,3,3,40.5993,-73.7394
6,4,2,40.5993,-73.7394
6,5,2,40.5993,-73.7394
6,6,1,40.5993,-73.7394
6,8,2,40.5993,-73.7394
6,9,1,40.5993,-73.7394
6,10,3,40.5993,-73.7394
6,11,1,40.5993,-73.7394
6,12,3,40.5993,-73.7394
6,14,2,40.5993,-73.7394
6,15,3,40.5993,-73.7394
6,16,2,40.5993,-73.7394
6,18,4,40.5993,-73.7394
6,19,2,40.5993,-73.7394
6,20,1,40.5993,-73.7394
6,21,4,40.5993,-73.7394
6,22,2,40.5993,-73.7394
6,23,3,40.5993,-73.7394
0,10,1,40.6093,-74.1894
0,18,1,40.6093,-74.1894
2,17,1,40.6093,-74.1894
2,22,1,40.6093,-74.1894
3,2,1,40.6093,-74.1894
3,17,1,40.6093,-74.1894
4,15,1,40.6093,-74.1894
5,11,1,40.6093,-74.1894
5,14,1,40.6093,-74.1894
6,3,1,40.6093,-74.1894
6,21,1,40.6093,-74.1894
6,22,1,40.6093,-74.1894
0,11,1,40.6093,-74.1794
0,12,1,40.6093,-74.1794
0,13,1,40.6093,-74.1794
0,14,2,40.6093,-74.1794
0,15,1,40.6093,-74.1794
0,17,1,40.6093,-74.1794
0,22,1,40.6093,-74.1794
1,3,1,40.6093,-74.1794
1,7,1,40.6093,-74.1794
1,8,1,40.6093,-74.1794
1,9,1,40.6093,-74.1794
1,10,1,40.6093,-74.1794
1,12,1,40.6093,-74.1794
1,13,1,40.6093,-74.1794
1,14,1,40.6093,-74.1794
1,15,1,40.6093,-74.1794
1,16,4,40.6093,-74.1794
1,17,1,40.6093,-74.1794
1,18,1,40.6093,-74.1794
1,20,1,40.6093,-74.1794
1,21,1,40.6093,-74.1794
1,22,1,40.6093,-74.1794
2,1,1,40.6093,-74.1794
2,2,1,40.6093,-74.1794
2,4,1,40.6093,-74.1794
2,5,1,40.6093,-74.1794
2,7,2,40.6093,-74.1794
2,10,1,40.6093,-74.1794
2,12,1,40.6093,-74.1794
2,13,1,40.6093,-74.1794
2,14,1,40.6093,-74.1794
2,15,1,40.6093,-74.1794
2,16,3,40.6093,-74.1794
2,17,1,40.6093,-74.1794
2,18,2,40.6093,-74.1794
2,19,1,40.6093,-74.1794
2,22,1,40.6093,-74.1794
3,7,2,40.6093,-74.1794
3,8,1,40.6093,-74.1794
3,9,1,40.6093,-74.1794
3,12,1,40.6093,-74.1794
3,14,1,40.6093,-74.1794
3,15,2,40.6093,-74.1794
3,19,1,40.6093,-74.1794
3,20,1,40.6093,-74.1794
3,22,2,40.6093,-74.1794
4,1,1,40.6093,-74.1794
4,2,1,40.6093,-74.1794
4,9,4,40.6093,-74.1794
4,10,1,40.6093,-74.1794
4,13,1,40.6093,-74.1794
4,15,2,40.6093,-74.1794
4,17,1,40.6093,-74.1794
4,18,1,40.6093,-74.1794
4,19,2,40.6093,-74.1794
4,23,1,40.6093,-74.1794
5,0,1,40.6093,-74.1794
5,3,2,40.6093,-74.1794
5,11,1,40.6093,-74.1794
5,12,1,40.6093,-74.1794
5,14,1,40.6093,-74.1794
5,16,1,40.6093,-74.1794
5,19,1,40.6093,-74.1794
5,20,1,40.6093,-74.1794
5,21,2,40.6093,-74.1794
5,23,1,40.6093,-74.1794
6,0,2,40.6093,-74.1794
6,4,1,40.6093,-74.1794
6,8,1,40.6093,-74.1794
6,9,2,40.6093,-74.1794
6,16,1,40.6093,-74.1794
6,17,1,40.6093,-74.1794
6,19,1,40.6093,-74.1794
6,20,1,40.6093,-74.1794
0,4,2,40.6093,-74.1694
0,9,2,40.6093,-74.1694
0,10,1,40.6093,-74.1694
0,12,1,40.6093,-74.1694
0,13,2,40.6093,-74.1694
0,14,1,40.6093,-74.1694
0,15,3,40.6093,-74.1694
0,16,1,40.6093,-74.1694
0,17,1,40.6093,-74.1694
0,18,1,40.6093,-74.1694
0,19,1,40.6093,-74.1694
0,21,3,40.6093,-74.1694
0,22,1,40.6093,-74.1694
0,23,2,40.6093,-74.1694
1,1,1,40.6093,-74.1694
1,6,1,40.6093,-74.1694
1,9,1,40.6093,-74.1694
1,10,1,40.6093,-74.1694
1,12,1,40.6093,-74.1694
1,13,1,40.6093,-74.1694
1,14,1,40.6093,-74.1694
1,15,2,40.6093,-74.1694
1,16,1,40.6093,-74.1694
1,17,1,40.6093,-74.1694
1,18,1,40.6093,-74.1694
1,19,2,40.6093,-74.1694
1,20,1,40.6093,-74.1694
1,21,2,40.6093,-74.1694
1,22,4,40.6093,-74.1694
1,23,1,40.6093,-74.1694
2,0,1,40.6093,-74.1694
2,3,1,40.6093,-74.1694
2,5,1,40.6093,-74.1694
2,7,1,40.6093,-74.1694
2,10,1,40.6093,-74.1694
2,11,2,40.6093,-74.1694
2,12,3,40.6093,-74.1694
2,14,1,40.6093,-74.1694
2,15,3,40.6093,-74.1694
2,16,2,40.6093,-74.1694
2,17,3,40.6093,-74.1694
2,18,2,40.6093,-74.1694
2,19,1,40.6093,-74.1694
2,20,1,40.6093,-74.1694
2,21,2,40.6093,-74.1694
2,22,1,40.6093,-74.1694
2,23,1,40.6093,-74.1694
3,1,1,40.6093,-74.1694
3,3,1,40.6093,-74.1694
3,7,1,40.6093,-74.1694
3,9,1,40.6093,-74.1694
3,10,1,40.6093,-74.1694
3,11,1,40.6093,-74.1694
3,12,3,40.6093,-74.1694
3,13,2,40.6093,-74.1694
3,15,2,40.6093,-74.1694
3,16,1,40.6093,-74.1694
3,17,1,40.6093,-74.1694
3,18,1,40.6093,-74.1694
3,19,1,40.6093,-74.1694
3,20,1,40.6093,-74.1694
3,21,2,40.6093,-74.1694
4,0,1,40.6093,-74.1694
4,2,3,40.6093,-74.1694
4,7,1,40.6093,-74.1694
4,10,1,40.6093,-74.1694
4,12,2,40.6093,-74.1694
4,13,3,40.6093,-74.1694
4,14,1,40.6093,-74.1694
4,17,1,40.6093,-74.1694
4,18,2,40.6093,-74.1694
4,19,4,40.6093,-74.1694
4,20,1,40.6093,-74.1694
4,21,1,40.6093,-74.1694
5,0,2,40.6093,-74.1694
5,1,2,40.6093,-74.1694
5,2,2,40.6093,-74.1694
5,6,2,40.6093,-74.1694
5,7,1,40.6093,-74.1694
5,10,2,40.6093,-74.1694
5,11,1,40.6093,-74.1694
5,13,1,40.6093,-74.1694
5,15,3,40.6093,-74.1694
5,16,1,40.6093,-74.1694
5,17,2,40.6093,-74.1694
5,19,1,40.6093,-74.1694
5,21,3,40.6093,-74.1694
5,22,2,40.6093,-74.1694
5,23,1,40.6093,-74.1694
6,0,1,40.6093,-74.1694
