,day,hour,precinct,sum
7444,4,0,10,62
7445,4,0,78,52
7446,4,0,6,93
7447,4,0,5,42
7448,4,0,94,97
7449,4,0,40,165
7450,4,0,34,139
7451,4,0,32,99
7452,4,0,50,75
7453,4,0,25,84
7454,4,0,100,46
7455,4,0,18,90
7456,4,0,20,55
7457,4,0,111,70
7458,4,0,107,55
7459,4,0,30,56
7460,4,0,49,112
7461,4,0,88,69
7462,4,0,26,42
7463,4,0,123,45
7464,4,0,9,102
7465,4,0,104,96
7466,4,0,33,64
7467,4,0,62,110
7468,4,0,22,3
7469,4,1,44,129
7470,4,1,103,69
7471,4,1,28,44
7472,4,1,105,69
7473,4,1,13,65
7474,4,1,71,72
7475,4,1,7,75
7476,4,1,46,80
7477,4,1,48,83
7478,4,1,19,50
7479,4,1,41,49
7480,4,1,14,87
7481,4,1,67,94
7482,4,1,17,44
7483,4,1,61,55
7484,4,1,102,60
7485,4,1,110,63
7486,4,1,108,65
7487,4,1,75,155
7488,4,1,73,96
7489,4,1,60,61
7490,4,1,68,47
7491,4,1,79,73
7492,4,1,121,75
7493,4,1,23,58
7494,4,1,42,75
7495,4,1,115,105
7496,4,1,52,82
7497,4,1,122,42
7498,4,1,1,52
7499,4,1,72,64
7500,4,1,109,74
7501,4,1,24,45
7502,4,1,81,60
7503,4,1,90,72
7504,4,1,112,21
7505,4,1,43,103
7506,4,1,84,26
7507,4,1,47,105
7508,4,1,77,71
7509,4,1,101,34
7510,4,1,83,68
7511,4,1,113,73
7512,4,1,120,75
7513,4,1,70,69
7514,4,1,69,40
7515,4,1,66,51
7516,4,1,114,110
7517,4,1,76,24
7518,4,1,63,42
7519,4,1,45,57
7520,4,1,106,56
7521,4,1,10,66
7522,4,1,78,31
7523,4,1,6,83
7524,4,1,5,41
7525,4,1,94,57
7526,4,1,40,142
7527,4,1,34,61
7528,4,1,32,70
7529,4,1,50,34
7530,4,1,25,65
7531,4,1,100,29
7532,4,1,18,79
7533,4,1,20,33
7534,4,1,111,31
7535,4,1,107,44
7536,4,1,30,43
7537,4,1,49,67
7538,4,1,88,37
7539,4,1,26,28
7540,4,1,123,42
7541,4,1,9,101
7542,4,1,104,56
7543,4,1,33,45
7544,4,1,62,72
7545,4,1,22,1
7546,4,2,44,100
7547,4,2,103,62
7548,4,2,28,27
7549,4,2,105,54
7550,4,2,13,62
7551,4,2,71,49
7552,4,2,7,53
7553,4,2,46,63
7554,4,2,48,62
7555,4,2,19,34
7556,4,2,41,47
7557,4,2,14,57
7558,4,2,67,67
7559,4,2,17,21
7560,4,2,61,38
7561,4,2,102,53
7562,4,2,110,53
7563,4,2,108,49
7564,4,2,75,115
7565,4,2,73,74
7566,4,2,60,54
7567,4,2,68,35
7568,4,2,79,50
7569,4,2,121,55
7570,4,2,23,49
7571,4,2,42,46
7572,4,2,115,92
7573,4,2,52,55
7574,4,2,122,45
7575,4,2,1,34
7576,4,2,72,63
7577,4,2,109,48
7578,4,2,24,35
7579,4,2,81,46
7580,4,2,90,60
7581,4,2,112,17
7582,4,2,43,90
7583,4,2,84,19
